acct,account
accts,accounts
add'l,additional
administrator,admin
administrators,admin
admins,admin
admns,admin
amzn,Amazon
anniv,anniversary
appt,appointment
approx,approximately
async,asynchronous
(authn|authen|auth),authentication
auths,authentications
avg,average
batt,battery
bc,because
bldg,building
biz,business
combo,combination
comm,communication
comms,communications
compat,compatible
(con call),conference call
conf,conference
config,configuration
configs,configurations
convo,conversation
cust,customer
custs,customers
demos,demonstrations
dept,department
deskt,desktop
devs,developers
dissat,dissatisfaction
distro,distribution
(doc|docx),document
docs,documents
droid,Android
dunno,do not know
dysfunct,dysfunctional
edu,education
eg,for example
esp,especially
exec,executive
execs,executives
exp,experience
feb,february
gen,generation
(gov|govt),government
hi-pri,high priority
hrs,hours
incl,including
info,information
infra,infrastructure
intro,introduction
kinda,kind of
legit,legitimate
(mgmt|mgt),management
mgr,manager
mgrs,managers
mkt,market
msg,message
msgs,messages
meetingroom,meeting room
(mtg|mtng),meeting
(mtgs|mtngs),meetings
mic,microphone
mics,microphones
mins,minutes
(microsoft it),MSIT
(msft it),MSIT
msft,Microsoft
oct,October
(opps|oppties|opptys|oppys),opportunities
(oppty|oppy|optty),opportunity
org,organization
orgs,organizations
pkg,package
perf,performance
perfs,performances
perms,permissions
pics,pictures
(pbi|pbix),PowerBI
(ppt|pptx),Powerpoint
ppts,Powerpoints
(pls|plz),please
ppl,people
prev,previous
prod,production
promo,promotion
pwd,password
repo,repository
repos,repositories
qtr,quarter
qtrly,quarterly
(refurbs|refurb),refurbished
req,requirement
reqs,requirements
saws,SAW
(skype4biz|skype4bussines|skype4bussiness|skype4business|skype4b|skypefb|skypeforbusiness|skype f b|sky for business),Skype for Business
sorta,sort of
txt,text
thx,thanks
thurs,Thursday
tmw,tomorrow
tues,Tuesday
(2factor|2factors|2 factor|2 factors|2-factor|2-factors),Two Factor
2way,two way
(www site),website
yrs,years
yr,year
aad,Azure Active Directory
ae,account executive
aws,Amazon Web Services
ai,artificial intelligence
asap,as soon as possible
b2b,business to business
btw,by the way
db,database
dl,distribution list
dls,distribution lists
(xls|xlsx),Excel
fb,Facebook
(f2f|face2face),face to face
fte,full time employee
ftes,full time employees
gui,graphical user interface
(hq|hqs),headquarters
(imo|imho),in my opinion
lca,legal and corporate affairs
l1,level 1
l2,level 2
kpi,key performance indicator
kpis,key performance indicators
kb,knowledge base
ml,machine learning
(mfa|mfas),multi factor authentication
neo,new employee orientation
o365,Office365
od,Onedrive
(odb|od4b|odfb),Onedrive for Business
oses,operating systems
oof,out of office
(personal computer),PC
(personal computers),PCs
(poc|pocs),proof of concept
po,purchase order
roi,return on investment
slt,senior leadership team
spo,SharePoint Online
(s4b|sfb|sforb),Skype for Business
(sfbm|sfbmobile|s4bm|s4bmobile),Skype for Business Mobile
(s4bo|sfbo),Skype for Business Online
sme,subject matter expert
smes,subject matter experts
sb2,Surface Book 2
sp3,Surface Pro 3
sp4,Surface Pro 4
tam,technical account manager
tams,technical account managers
2fa,Two Factor Authentication
ui,user interface
ux,user experience
vpns,VPN
wp,windows phone
wrt,with respect to
wfh,work from home
ww,worldwide
(core services engineering),CSE
